Date Of Sleep,Local Time Offset,Sleep Score,BedTime,Sleep Start Time,Wake Up Time,Get Up Time,Total In Bed Duration (hrs),Total Sleep Duration (hrs)
13/04/2021,-4,86.64772727,2021-04-13T01:27:58.000Z,2021-04-13T01:42:58.000Z,2021-04-13T10:26:58.000Z,2021-04-13T10:42:28.000Z,9.250,7.889
14/04/2021,-4,77.43642345,2021-04-14T02:06:41.000Z,2021-04-14T02:13:41.000Z,2021-04-14T09:55:11.000Z,2021-04-14T09:55:41.000Z,7.806,6.917
15/04/2021,-4,88.22222222,2021-04-15T02:24:15.000Z,2021-04-15T02:24:15.000Z,2021-04-15T10:14:45.000Z,2021-04-15T10:26:15.000Z,8.028,7.472
16/04/2021,-4,69.64048624,2021-04-16T01:03:14.000Z,2021-04-16T01:06:44.000Z,2021-04-16T10:55:44.000Z,2021-04-16T10:59:44.000Z,9.944,7.861
17/04/2021,-4,86.07875108,2021-04-17T02:22:04.000Z,2021-04-17T02:28:04.000Z,2021-04-17T09:51:34.000Z,2021-04-17T10:07:34.000Z,7.750,6.889
18/04/2021,-4,85.03896825,2021-04-18T02:28:16.000Z,2021-04-18T02:33:46.000Z,2021-04-18T09:45:46.000Z,2021-04-18T09:58:46.000Z,7.500,6.778
19/04/2021,-4,92.72063492,2021-04-19T01:56:27.000Z,2021-04-19T01:56:27.000Z,2021-04-19T10:46:57.000Z,2021-04-19T10:58:27.000Z,9.028,8.389
20/04/2021,-4,81.97266963,2021-04-20T02:35:21.000Z,2021-04-20T02:43:51.000Z,2021-04-20T09:44:51.000Z,2021-04-20T09:47:51.000Z,7.222,6.667
21/04/2021,-4,88.23752105,2021-04-21T01:50:44.000Z,2021-04-21T02:13:44.000Z,2021-04-21T09:37:14.000Z,2021-04-21T09:52:14.000Z,8.028,7.139
23/04/2021,-4,71.02523694,2021-04-23T01:50:20.000Z,2021-04-23T01:54:20.000Z,2021-04-23T10:30:50.000Z,2021-04-23T10:41:50.000Z,8.861,6.306
24/04/2021,-4,85.02669173,2021-04-24T02:13:59.000Z,2021-04-24T02:17:29.000Z,2021-04-24T09:21:29.000Z,2021-04-24T09:56:29.000Z,7.722,6.778
25/04/2021,-4,93.62420635,2021-04-25T02:31:25.000Z,2021-04-25T02:32:55.000Z,2021-04-25T10:45:25.000Z,2021-04-25T11:00:55.000Z,8.500,7.861
26/04/2021,-4,94.42619048,2021-04-26T02:03:47.000Z,2021-04-26T02:03:47.000Z,2021-04-26T10:16:47.000Z,2021-04-26T10:21:17.000Z,8.306,8.000
27/04/2021,-4,69.93229548,2021-04-27T01:56:14.000Z,2021-04-27T02:32:14.000Z,2021-04-27T09:44:14.000Z,2021-04-27T09:49:44.000Z,7.889,6.389
28/04/2021,-4,87.15950207,2021-04-28T02:07:39.000Z,2021-04-28T02:09:39.000Z,2021-04-28T10:02:09.000Z,2021-04-28T10:20:39.000Z,8.222,7.361
29/04/2021,-4,85.44880952,2021-04-29T02:55:34.000Z,2021-04-29T02:57:04.000Z,2021-04-29T10:18:34.000Z,2021-04-29T10:33:04.000Z,7.639,7.056
30/04/2021,-4,43.77380952,2021-04-30T02:03:41.000Z,2021-04-30T02:49:11.000Z,2021-04-30T09:52:11.000Z,2021-04-30T10:10:11.000Z,8.111,5.444
01/05/2021,-4,93.73333333,2021-05-01T01:50:57.000Z,2021-05-01T01:50:57.000Z,2021-05-01T10:07:57.000Z,2021-05-01T10:16:57.000Z,8.444,7.972
02/05/2021,-4,90.20079365,2021-05-02T04:00:13.000Z,2021-05-02T04:00:13.000Z,2021-05-02T11:42:13.000Z,2021-05-02T11:52:13.000Z,7.861,7.417
03/05/2021,-4,91.2175526,2021-05-03T01:43:50.000Z,2021-05-03T01:55:20.000Z,2021-05-03T10:41:20.000Z,2021-05-03T10:43:20.000Z,9.000,8.222
04/05/2021,-4,82.63977668,2021-05-04T02:33:41.000Z,2021-05-04T02:40:11.000Z,2021-05-04T09:24:41.000Z,2021-05-04T09:47:11.000Z,7.222,6.389
05/05/2021,-4,87.37751604,2021-05-05T02:29:46.000Z,2021-05-05T02:30:46.000Z,2021-05-05T10:43:16.000Z,2021-05-05T10:58:16.000Z,8.472,7.611
